TxID,Zone,CID,"r_{i,t}","phi_{i,t}","p_{i,t,j,1}",Aadhaar,Device Drain,Temp (°C),Elevation (m),Proxy Access,Scan Result
T000030,Z3,51b75e,1,0.269,0.81,Linked,23%,41.1,375,Disabled,Valid
T000031,Z1,a0773c,1,0.461,0.405,Anonymous,87%,30.2,802,Disabled,Failed
T000032,Z3,13c24f,1,0.263,0.712,Anonymous,21%,36.5,666,Enabled,Valid
T000033,Z2,a15bcc,1,0.443,0.544,Anonymous,81%,27.1,254,Disabled,Failed
T000034,Z2,31c485,1,0.395,0.479,Anonymous,65%,28.9,731,Enabled,Failed
T000035,Z1,a415b8,1,0.365,0.489,Linked,55%,38.7,932,Enabled,Failed
T000036,Z2,fc6012,1,0.296,0.634,Anonymous,32%,38.0,780,Enabled,Failed
T000037,Z2,cf8e74,1,0.242,0.819,Linked,14%,39.9,555,Disabled,Valid
T000038,Z4,7313c5,1,0.239,0.702,Linked,13%,36.9,916,Enabled,Valid
T000039,Z1,68054c,1,0.239,0.808,Anonymous,13%,28.7,634,Disabled,Valid
T000040,Z3,856ca4,1,0.35,0.521,Anonymous,50%,33.5,1147,Disabled,Valid
T000041,Z5,d97d8c,1,0.23,0.849,Linked,10%,34.8,503,Disabled,Valid
T000042,Z3,b90099,1,0.422,0.443,Linked,74%,31.6,936,Disabled,Valid
T000043,Z3,c82728,1,0.374,0.619,Linked,58%,37.2,456,Disabled,Valid
T000044,Z4,a09f9c,1,0.308,0.668,Anonymous,36%,33.4,759,Disabled,Valid
T000045,Z2,79df1f,1,0.338,0.563,Linked,46%,34.7,786,Enabled,Failed
T000046,Z2,24e739,1,0.239,0.67,Linked,13%,27.7,1073,Enabled,Failed
T000047,Z1,c3444e,1,0.419,0.555,Linked,73%,33.0,402,Disabled,Failed
T000048,Z1,5fc1f4,1,0.248,0.85,Linked,16%,35.4,348,Disabled,Valid
T000049,Z4,2fcc91,1,0.44,0.515,Anonymous,80%,33.7,425,Disabled,Failed
T000050,Z4,b4a492,1,0.47,0.35,Anonymous,90%,30.6,1000,Disabled,Failed
T000051,Z2,e8a238,1,0.281,0.638,Anonymous,27%,29.3,884,Enabled,Valid
T000052,Z2,1efb28,1,0.437,0.56,Anonymous,79%,34.0,227,Disabled,Failed
T000053,Z4,861f35,1,0.23,0.808,Anonymous,10%,41.1,711,Disabled,Valid
T000054,Z4,4985e9,1,0.314,0.591,Linked,38%,31.1,1094,Disabled,Valid
T000055,Z4,c094ec,1,0.38,0.619,Linked,60%,35.9,155,Enabled,Failed
T000056,Z2,fe7c23,1,0.374,0.504,Linked,58%,31.9,1031,Disabled,Valid
T000057,Z4,ac89d5,1,0.41,0.559,Anonymous,70%,27.3,206,Enabled,Valid
T000058,Z1,87555d,0.918,0.236,0.772,Linked,12%,36.3,588,Enabled,Valid
T000059,Z1,b3155f,1,0.371,0.648,Anonymous,57%,29.5,334,Disabled,Failed
T000060,Z3,056417,1,0.38,0.599,Anonymous,60%,41.1,506,Disabled,Valid
T000061,Z2,7df9a4,1,0.362,0.508,Linked,54%,35.0,858,Enabled,Valid
T000062,Z3,67d569,1,0.395,0.417,Anonymous,65%,41.4,1041,Enabled,Valid
T000063,Z2,19ae7d,1,0.395,0.545,Anonymous,65%,39.4,649,Disabled,Failed
T000064,Z1,77d811,1,0.446,0.415,Linked,82%,36.2,876,Disabled,Valid
T000065,Z3,338043,1,0.329,0.652,Linked,43%,32.1,665,Disabled,Valid
T000066,Z2,596744,1,0.443,0.38,Anonymous,81%,38.4,1075,Disabled,Failed
T000067,Z4,5d77a2,1,0.383,0.5,Anonymous,61%,37.4,727,Enabled,Failed
T000068,Z4,0a1048,1,0.44,0.394,Anonymous,80%,32.0,1029,Disabled,Valid
T000069,Z2,7806f5,1,0.434,0.464,Anonymous,78%,41.3,479,Enabled,Valid
T000070,Z4,94df0b,1,0.302,0.612,Anonymous,34%,31.4,839,Enabled,Valid
T000071,Z5,7e7671,1,0.44,0.478,Linked,80%,31.4,358,Enabled,Failed
T000072,Z4,cb00df,1,0.413,0.55,Anonymous,71%,33.6,477,Disabled,Valid
T000073,Z4,e3603c,1,0.257,0.863,Anonymous,19%,35.7,209,Disabled,Valid
T000074,Z5,b70e2b,1,0.443,0.433,Linked,81%,38.5,562,Enabled,Failed
T000075,Z4,03365a,1,0.446,0.529,Anonymous,82%,36.3,303,Disabled,Valid
T000076,Z2,b9b934,1,0.296,0.706,Linked,32%,35.3,420,Enabled,Valid
T000077,Z5,07fe27,1,0.338,0.514,Linked,46%,37.6,1029,Enabled,Failed
T000078,Z3,4d7ab5,1,0.437,0.474,Anonymous,79%,30.4,405,Enabled,Valid
T000079,Z2,a8f4b4,1,0.458,0.432,Linked,86%,38.2,691,Disabled,Valid
T000080,Z3,148569,1,0.26,0.703,Anonymous,20%,36.0,984,Disabled,Valid
T000081,Z3,bab7f1,1,0.332,0.638,Linked,44%,35.6,458,Enabled,Valid
T000082,Z4,e42491,1,0.263,0.708,Anonymous,21%,34.1,936,Disabled,Valid
T000083,Z1,0b9195,1,0.338,0.586,Anonymous,46%,36.9,920,Disabled,Failed
T000084,Z1,f2d6ab,1,0.353,0.56,Anonymous,51%,28.7,927,Disabled,Valid
T000085,Z1,3b4e8d,1,0.302,0.556,Anonymous,34%,34.8,1120,Enabled,Valid
T000086,Z1,002361,1,0.398,0.452,Linked,66%,40.2,1092,Disabled,Valid
T000087,Z5,da1911,1,0.44,0.438,Anonymous,80%,33.1,560,Enabled,Failed
T000088,Z4,681e29,1,0.425,0.435,Anonymous,75%,37.6,950,Disabled,Failed
T000089,Z4,d6cfa9,1,0.302,0.602,Linked,34%,40.8,1140,Disabled,Failed
T000090,Z1,b9b335,1,0.23,0.808,Anonymous,10%,31.2,711,Disabled,Valid
T000091,Z4,9801ac,1,0.356,0.566,Anonymous,52%,35.3,872,Disabled,Failed
T000092,Z2,dcdd82,1,0.245,0.711,Linked,15%,31.8,1068,Disabled,Failed
T000093,Z4,af4bd0,1,0.278,0.664,Anonymous,26%,34.5,779,Enabled,Valid
T000094,Z4,7373d6,1,0.284,0.727,Anonymous,28%,33.1,416,Enabled,Valid
T000095,Z3,e8f35d,1,0.434,0.46,Linked,78%,32.7,748,Disabled,Failed
T000096,Z4,2c46f7,1,0.47,0.362,Linked,90%,37.3,688,Enabled,Failed
T000097,Z4,72259c,1,0.344,0.671,Anonymous,48%,40.6,194,Enabled,Failed
T000098,Z3,beba16,1,0.323,0.651,Anonymous,41%,35.0,468,Enabled,Valid
T000099,Z5,055748,1,0.317,0.631,Anonymous,39%,33.9,620,Enabled,Valid
T000100,Z1,d63528,1,0.398,0.478,Linked,66%,41.2,712,Enabled,Failed
T000101,Z3,4e619a,1,0.413,0.469,Linked,71%,28.6,881,Disabled,Valid
T000102,Z3,e877f1,1,0.233,0.905,Anonymous,11%,35.5,200,Disabled,Valid
T000103,Z4,7b2b67,1,0.302,0.704,Anonymous,34%,36.3,380,Enabled,Valid
T000104,Z1,0b75ce,1,0.278,0.729,Linked,26%,28.4,704,Disabled,Failed
T000105,Z2,885c82,1,0.293,0.628,Anonymous,31%,30.9,1086,Disabled,Valid
T000106,Z3,c151eb,1,0.314,0.577,Linked,38%,39.9,913,Enabled,Failed
T000107,Z3,5d7f3d,1,0.434,0.439,Linked,78%,28.9,854,Disabled,Failed
T000108,Z3,d4f8f5,1,0.317,0.601,Anonymous,39%,34.1,771,Enabled,Failed
T000109,Z1,e3773f,1,0.281,0.78,Anonymous,27%,27.7,176,Enabled,Failed
T000110,Z1,b46538,1,0.404,0.468,Linked,68%,32.6,958,Disabled,Failed
T000111,Z2,6aabdb,1,0.335,0.603,Anonymous,45%,27.5,858,Disabled,Valid
T000112,Z2,5076ee,1,0.251,0.817,Anonymous,17%,33.0,488,Disabled,Failed
T000113,Z4,bdede8,1,0.356,0.619,Linked,52%,30.7,357,Enabled,Valid
T000114,Z1,44efce,1,0.356,0.669,Linked,52%,38.6,105,Enabled,Failed
T000115,Z2,f8d63b,1,0.272,0.8,Anonymous,24%,36.9,152,Enabled,Valid
T000116,Z2,b38b48,1,0.329,0.543,Linked,43%,27.8,962,Enabled,Valid
T000117,Z1,1c3eb8,1,0.401,0.577,Anonymous,67%,34.6,188,Enabled,Failed
T000118,Z5,9ea32c,1,0.413,0.4,Linked,71%,39.7,973,Enabled,Valid
T000119,Z4,447891,1,0.254,0.707,Anonymous,18%,28.9,765,Enabled,Failed
T000120,Z5,7b0819,1,0.272,0.722,Anonymous,24%,39.8,540,Enabled,Valid
T000121,Z2,9e1084,1,0.389,0.537,Anonymous,63%,37.9,740,Disabled,Valid
T000122,Z3,75caaf,1,0.263,0.787,Anonymous,21%,39.5,290,Enabled,Valid
T000123,Z3,070050,1,0.386,0.447,Anonymous,62%,32.3,966,Enabled,Failed
T000124,Z1,6e0483,1,0.449,0.452,Anonymous,83%,34.6,416,Enabled,Failed
T000125,Z1,d8ef0b,1,0.449,0.389,Linked,83%,30.4,978,Disabled,Failed
T000126,Z5,be1416,1,0.299,0.639,Anonymous,33%,31.1,732,Enabled,Valid
T000127,Z1,e30265,1,0.284,0.778,Anonymous,28%,38.1,162,Enabled,Valid
T000128,Z2,de2752,1,0.29,0.697,Anonymous,30%,32.6,764,Disabled,Failed
T000129,Z5,bda28c,1,0.467,0.452,Linked,89%,27.7,267,Enabled,Valid
T000130,Z4,d9b7d8,1,0.311,0.748,Anonymous,37%,38.3,333,Disabled,Valid
T000131,Z3,b4b3be,1,0.314,0.718,Anonymous,38%,32.9,212,Enabled,Valid
T000132,Z2,84ce8d,1,0.275,0.679,Anonymous,25%,27.1,981,Disabled,Valid
T000133,Z5,beab6f,1,0.38,0.613,Anonymous,60%,39.9,186,Enabled,Valid
T000134,Z1,4f1a57,1,0.341,0.737,Anonymous,47%,28.7,142,Disabled,Valid
T000135,Z5,41fe25,1,0.269,0.701,Linked,23%,30.6,920,Disabled,Valid
T000136,Z3,57f4d7,1,0.257,0.788,Anonymous,19%,34.7,333,Enabled,Valid
T000137,Z3,2121e5,1,0.284,0.719,Linked,28%,30.8,455,Enabled,Valid
T000138,Z1,191fa8,1,0.446,0.438,Anonymous,82%,36.6,761,Disabled,Failed
T000139,Z3,54a9d2,1,0.398,0.538,Linked,66%,36.5,662,Disabled,Valid
T000140,Z5,91113e,0.877,0.242,0.793,Anonymous,14%,27.9,687,Disabled,Valid
T000141,Z1,e8230d,1,0.452,0.543,Anonymous,84%,35.3,184,Disabled,Failed
T000142,Z5,c23e12,1,0.251,0.704,Anonymous,17%,33.8,803,Enabled,Valid
T000143,Z2,b301cf,1,0.431,0.53,Anonymous,77%,34.8,425,Disabled,Valid
T000144,Z3,59633b,1,0.47,0.453,Anonymous,90%,36.7,234,Enabled,Valid
T000145,Z4,3f4a65,1,0.26,0.822,Linked,20%,35.7,389,Disabled,Valid
T000146,Z4,c2b575,1,0.356,0.504,Anonymous,52%,39.2,1178,Disabled,Failed
T000147,Z4,04106d,1,0.347,0.647,Linked,49%,29.7,538,Disabled,Failed
T000148,Z4,455e63,1,0.257,0.794,Linked,19%,31.4,307,Enabled,Valid
T000149,Z5,999bce,1,0.287,0.767,Linked,29%,29.4,439,Disabled,Valid
T000150,Z4,fccff5,1,0.401,0.547,Anonymous,67%,30.5,589,Disabled,Failed
T000151,Z4,b6870d,1,0.338,0.544,Anonymous,46%,38.7,1129,Disabled,Valid
T000152,Z2,700cd8,1,0.413,0.533,Anonymous,71%,40.1,310,Enabled,Failed
T000153,Z1,f81e52,1,0.401,0.585,Linked,67%,40.6,401,Disabled,Valid
T000154,Z2,d9e3ab,1,0.248,0.747,Linked,16%,32.9,865,Disabled,Valid
T000155,Z1,74ba1c,1,0.266,0.733,Linked,22%,39.6,786,Disabled,Valid
T000156,Z1,4ea066,1,0.401,0.613,Linked,67%,36.2,262,Disabled,Valid
T000157,Z2,405968,1,0.338,0.65,Anonymous,46%,30.6,349,Enabled,Valid
T000158,Z5,ae691b,1,0.458,0.339,Linked,86%,35.0,1155,Disabled,Valid
T000159,Z2,983c2b,1,0.32,0.703,Linked,40%,35.6,483,Disabled,Valid
T000160,Z5,c0ddeb,1,0.41,0.472,Linked,70%,27.7,892,Disabled,Valid
T000161,Z1,7e85ce,1,0.47,0.344,Anonymous,90%,28.6,780,Enabled,Valid
T000162,Z5,6ab69f,1,0.47,0.475,Anonymous,90%,29.7,376,Disabled,Failed
T000163,Z4,505d79,1,0.305,0.626,Linked,35%,40.3,746,Enabled,Valid
T000164,Z5,923726,1,0.338,0.681,Linked,46%,32.4,197,Enabled,Valid
T000165,Z3,260d53,1,0.398,0.492,Anonymous,66%,40.4,891,Disabled,Failed
T000166,Z4,d1ab93,1,0.392,0.536,Anonymous,64%,28.2,469,Enabled,Valid
T000167,Z1,3f4060,1,0.401,0.471,Anonymous,67%,36.0,972,Disabled,Failed
T000168,Z3,023319,1,0.335,0.732,Anonymous,45%,36.6,217,Disabled,Valid
T000169,Z4,312ada,1,0.284,0.611,Linked,28%,39.7,997,Enabled,Valid
T000170,Z2,184ca8,1,0.461,0.311,Anonymous,87%,29.3,1021,Enabled,Failed
T000171,Z1,ae819c,1,0.35,0.628,Anonymous,50%,36.7,611,Disabled,Valid
T000172,Z2,155853,1,0.329,0.532,Anonymous,43%,38.6,1013,Enabled,Failed
T000173,Z3,1ecab7,1,0.257,0.653,Linked,19%,33.8,1011,Enabled,Failed
T000174,Z3,321158,1,0.29,0.759,Anonymous,30%,37.7,456,Disabled,Valid
T000175,Z2,01eaf1,1,0.419,0.414,Linked,73%,27.4,855,Enabled,Failed
T000176,Z5,5d3458,1,0.38,0.484,Linked,60%,42.0,1080,Disabled,Valid
T000177,Z4,40ad17,1,0.257,0.673,Linked,19%,33.7,1159,Disabled,Valid
T000178,Z5,4d1711,1,0.422,0.587,Linked,74%,40.7,213,Disabled,Valid
T000179,Z2,7d0021,1,0.314,0.578,Linked,38%,32.2,1162,Disabled,Valid
T000180,Z1,2058b6,1,0.47,0.262,Anonymous,90%,31.5,1192,Enabled,Failed
T000181,Z2,5a63b3,1,0.446,0.558,Linked,82%,27.6,158,Disabled,Valid
T000182,Z5,5367b6,1,0.419,0.446,Anonymous,73%,40.3,693,Enabled,Failed
T000183,Z4,67f0e6,1,0.257,0.82,Anonymous,19%,37.3,423,Disabled,Valid
T000184,Z4,3fed83,1,0.35,0.589,Linked,50%,38.0,807,Disabled,Valid
T000185,Z3,24b4ea,1,0.407,0.401,Anonymous,69%,28.8,1020,Enabled,Valid
T000186,Z1,1eb04a,1,0.29,0.652,Anonymous,30%,39.2,740,Enabled,Failed
T000187,Z4,23da14,1,0.419,0.454,Anonymous,73%,27.3,905,Disabled,Failed
T000188,Z2,ba751d,1,0.338,0.507,Linked,46%,34.4,1063,Enabled,Failed
T000189,Z1,2fae33,1,0.383,0.511,Anonymous,61%,32.5,920,Disabled,Failed
T000190,Z2,bd4359,1,0.422,0.496,Linked,74%,33.8,672,Disabled,Failed
T000191,Z5,b2282b,1,0.371,0.556,Linked,57%,38.9,794,Disabled,Failed
T000192,Z2,9f4ba0,1,0.245,0.719,Anonymous,15%,27.6,782,Enabled,Valid
T000193,Z4,52cada,1,0.464,0.379,Linked,88%,31.8,904,Disabled,Failed
T000194,Z3,147bfd,1,0.41,0.479,Anonymous,70%,39.2,854,Disabled,Failed
T000195,Z4,19eded,1,0.329,0.672,Linked,43%,41.5,566,Disabled,Valid
T000196,Z4,0f71eb,1,0.323,0.68,Anonymous,41%,27.5,325,Enabled,Valid
T000197,Z3,e3ac30,1,0.386,0.427,Anonymous,62%,34.5,1065,Enabled,Failed
T000198,Z1,95c629,1,0.413,0.497,Linked,71%,34.9,742,Disabled,Valid
T000199,Z5,9a47b7,1,0.464,0.439,Anonymous,88%,34.3,604,Disabled,Failed
T000200,Z2,e5a101,1,0.35,0.618,Linked,50%,34.2,660,Disabled,Valid
T000201,Z5,c24b4b,1,0.341,0.663,Anonymous,47%,27.6,261,Enabled,Failed
T000202,Z3,6b5521,1,0.443,0.519,Linked,81%,37.4,381,Disabled,Failed
T000203,Z5,584354,1,0.317,0.566,Linked,39%,27.8,946,Enabled,Failed
T000204,Z1,e058b2,1,0.41,0.548,Linked,70%,34.2,508,Disabled,Failed
T000205,Z3,354838,1,0.434,0.525,Linked,78%,38.1,176,Enabled,Failed
T000206,Z4,fbbaf2,1,0.299,0.697,Anonymous,33%,41.0,692,Disabled,Valid
T000207,Z3,2b062d,1,0.404,0.425,Anonymous,68%,41.8,1173,Disabled,Failed
T000208,Z2,075bf6,1,0.272,0.622,Anonymous,24%,32.0,1039,Enabled,Valid
T000209,Z2,cabeaa,1,0.296,0.604,Anonymous,32%,36.2,930,Enabled,Valid
T000210,Z3,878880,1,0.281,0.693,Linked,27%,34.2,608,Enabled,Valid
T000211,Z2,2da570,1,0.452,0.555,Anonymous,84%,37.8,123,Disabled,Failed
T000212,Z2,1afdbd,1,0.29,0.624,Anonymous,30%,33.1,1129,Disabled,Failed
T000213,Z3,dee171,1,0.314,0.544,Anonymous,38%,41.4,1079,Enabled,Valid
T000214,Z5,2052c3,1,0.323,0.692,Anonymous,41%,37.2,267,Enabled,Valid
T000215,Z3,70d94d,1,0.449,0.448,Linked,83%,35.0,436,Enabled,Failed
T000216,Z4,f9eb97,1,0.425,0.532,Anonymous,75%,33.7,213,Enabled,Valid
T000217,Z4,548750,1,0.236,0.919,Anonymous,12%,32.9,106,Disabled,Valid
T000218,Z1,daaf2b,1,0.437,0.507,Anonymous,79%,41.9,241,Enabled,Valid
T000219,Z4,c94c45,1,0.374,0.535,Anonymous,58%,33.7,873,Disabled,Valid
T000220,Z5,41ea4b,1,0.434,0.488,Linked,78%,32.9,360,Enabled,Failed
T000221,Z1,d022bf,1,0.434,0.496,Anonymous,78%,32.7,570,Disabled,Valid
T000222,Z2,217709,1,0.389,0.609,Linked,63%,36.2,132,Enabled,Valid
T000223,Z1,15ec7b,1,0.323,0.56,Anonymous,41%,38.1,923,Enabled,Valid
T000224,Z2,dcae19,1,0.449,0.384,Anonymous,83%,31.8,756,Enabled,Valid
T000225,Z2,9f8e2a,1,0.335,0.683,Anonymous,45%,27.9,458,Disabled,Valid
T000226,Z5,d68a61,1,0.431,0.425,Anonymous,77%,31.8,952,Disabled,Valid
T000227,Z4,e1729f,1,0.314,0.681,Anonymous,38%,31.5,395,Enabled,Valid
T000228,Z1,762d9f,1,0.377,0.552,Anonymous,59%,30.6,516,Enabled,Failed
T000229,Z4,22e716,1,0.332,0.694,Linked,44%,32.7,180,Enabled,Valid
T000230,Z5,18f26e,1,0.356,0.664,Anonymous,52%,31.5,131,Enabled,Failed
T000231,Z1,8911a6,1,0.32,0.664,Linked,40%,35.3,679,Disabled,Valid
T000232,Z3,385337,1,0.407,0.443,Anonymous,69%,28.5,1061,Disabled,Failed
T000233,Z2,dd22d3,1,0.446,0.46,Anonymous,82%,40.0,398,Enabled,Valid
T000234,Z5,016d63,1,0.305,0.6,Anonymous,35%,31.9,877,Enabled,Failed
T000235,Z4,9a991f,1,0.416,0.476,Anonymous,72%,33.9,821,Disabled,Valid
T000236,Z5,895dfa,1,0.257,0.815,Linked,19%,41.2,199,Enabled,Valid
T000237,Z2,dfc6b7,1,0.311,0.592,Linked,37%,34.6,864,Enabled,Failed
T000238,Z5,e2b3d3,1,0.434,0.535,Linked,78%,35.3,124,Enabled,Valid
T000239,Z3,40b8fe,1,0.296,0.781,Linked,32%,28.6,297,Disabled,Valid
T000240,Z2,94fc1d,1,0.332,0.728,Anonymous,44%,38.9,261,Disabled,Failed
T000241,Z4,5c19f4,1,0.26,0.867,Linked,20%,36.8,164,Disabled,Valid
T000242,Z4,ab3255,1,0.293,0.597,Linked,31%,28.2,988,Enabled,Failed
T000243,Z5,7d043a,1,0.311,0.55,Linked,37%,40.5,1073,Enabled,Valid
T000244,Z1,6523a2,1,0.35,0.595,Linked,50%,27.2,524,Enabled,Valid
T000245,Z4,8b3430,1,0.446,0.361,Linked,82%,39.5,896,Enabled,Failed
T000246,Z3,ddc6ea,1,0.248,0.805,Linked,16%,28.5,575,Disabled,Valid
T000247,Z5,6aa2a5,1,0.332,0.526,Anonymous,44%,38.8,1022,Enabled,Valid
T000248,Z5,41124c,1,0.26,0.759,Linked,20%,38.6,704,Disabled,Valid
T000249,Z1,f12606,1,0.287,0.705,Linked,29%,38.1,748,Disabled,Valid
T000250,Z1,b59794,1,0.269,0.788,Anonymous,23%,29.0,483,Disabled,Valid
T000251,Z5,f4d1ce,1,0.263,0.787,Linked,21%,32.3,290,Enabled,Valid
T000252,Z3,24a590,1,0.377,0.586,Anonymous,59%,38.7,597,Disabled,Valid
T000253,Z4,610575,1,0.332,0.734,Anonymous,44%,34.4,229,Disabled,Valid
T000254,Z4,b58c36,1,0.326,0.567,Linked,42%,41.2,1115,Disabled,Failed
T000255,Z4,eebd40,1,0.38,0.474,Anonymous,60%,32.0,878,Enabled,Failed
T000256,Z4,29a5bc,1,0.353,0.643,Linked,51%,36.0,511,Disabled,Valid
T000257,Z4,778eb9,1,0.353,0.514,Anonymous,51%,32.6,904,Enabled,Valid
T000258,Z5,29560b,1,0.407,0.499,Linked,69%,41.1,529,Enabled,Failed
T000259,Z1,56c331,1,0.32,0.717,Linked,40%,30.8,415,Disabled,Valid
T000260,Z4,c9d602,1,0.434,0.419,Anonymous,78%,34.6,956,Disabled,Valid
T000261,Z3,b5538f,1,0.365,0.637,Linked,55%,29.5,190,Enabled,Failed
T000262,Z4,a92e84,1,0.266,0.611,Linked,22%,30.9,1145,Enabled,Valid
T000263,Z5,7a959e,1,0.38,0.475,Anonymous,60%,33.9,1124,Disabled,Valid
T000264,Z1,8c017a,1,0.26,0.822,Anonymous,20%,28.7,390,Disabled,Valid
T000265,Z4,2ade79,1,0.41,0.445,Anonymous,70%,28.5,1026,Disabled,Valid
T000266,Z1,867bae,1,0.293,0.675,Anonymous,31%,40.9,599,Enabled,Valid
T000267,Z2,816fbf,1,0.383,0.549,Anonymous,61%,36.4,481,Enabled,Failed
T000268,Z4,6f09d4,1,0.377,0.597,Anonymous,59%,27.1,539,Disabled,Valid
T000269,Z1,949560,1,0.353,0.678,Linked,51%,30.0,333,Disabled,Valid
T000270,Z4,c7b68b,1,0.455,0.411,Anonymous,85%,28.7,820,Disabled,Failed
T000271,Z2,5e6970,1,0.275,0.807,Linked,25%,30.6,339,Disabled,Valid
T000272,Z2,cef389,1,0.449,0.439,Anonymous,83%,32.8,480,Enabled,Failed
T000273,Z2,398333,1,0.281,0.66,Anonymous,27%,29.8,1023,Disabled,Valid
T000274,Z3,ffaa23,1,0.377,0.428,Linked,59%,41.5,1135,Enabled,Failed
T000275,Z4,1eaf67,1,0.26,0.74,Anonymous,20%,35.5,551,Enabled,Valid
T000276,Z2,20ed0b,1,0.446,0.367,Linked,82%,38.1,1114,Disabled,Failed
T000277,Z5,d70626,1,0.398,0.426,Anonymous,66%,35.2,970,Enabled,Failed
T000278,Z2,3c4d14,1,0.362,0.674,Anonymous,54%,39.9,278,Disabled,Failed
T000279,Z1,3d5a9f,1,0.293,0.74,Anonymous,31%,36.2,523,Disabled,Valid
T000280,Z1,c1a58f,1,0.353,0.555,Anonymous,51%,41.7,699,Enabled,Failed
T000281,Z5,3e57c7,1,0.335,0.653,Anonymous,45%,40.0,359,Enabled,Failed
T000282,Z2,5c64f3,1,0.416,0.51,Linked,72%,29.1,650,Disabled,Valid
T000283,Z4,727682,1,0.371,0.495,Anonymous,57%,33.8,1099,Disabled,Failed
T000284,Z1,dd720c,1,0.311,0.708,Linked,37%,41.5,533,Disabled,Valid
T000285,Z3,c32269,1,0.359,0.695,Linked,53%,40.4,199,Disabled,Valid
T000286,Z4,f0af8a,1,0.404,0.465,Linked,68%,27.0,976,Disabled,Failed
T000287,Z2,bd8ce6,1,0.368,0.498,Anonymous,56%,30.8,861,Enabled,Failed
T000288,Z2,a37633,1,0.392,0.571,Anonymous,64%,36.8,294,Enabled,Valid
T000289,Z1,d0eabb,1,0.233,0.826,Anonymous,11%,37.4,346,Enabled,Valid
T000290,Z2,98bba4,1,0.263,0.833,Linked,21%,38.0,309,Disabled,Valid
T000291,Z3,2f287c,1,0.254,0.837,Linked,18%,35.0,117,Enabled,Valid
T000292,Z4,42487a,1,0.464,0.451,Linked,88%,37.3,544,Disabled,Failed
T000293,Z2,b0649b,1,0.35,0.629,Anonymous,50%,38.9,607,Disabled,Failed
T000294,Z2,81c024,1,0.308,0.591,Linked,36%,34.8,1143,Disabled,Failed
T000295,Z3,551f3a,1,0.272,0.831,Anonymous,24%,30.6,245,Disabled,Failed
T000296,Z1,e4438f,1,0.446,0.499,Linked,82%,33.3,453,Disabled,Valid
T000297,Z1,89dc74,1,0.311,0.77,Linked,37%,27.6,223,Disabled,Valid
